patch,bicubic_psnr,ai_psnr,bicubic_ssim,ai_ssim
sentinel_patch_01,20.24326143694514,22.842185329149483,0.6215099080620746,0.8435348324470243
sentinel_patch_02,20.11602760725999,23.668752480935225,0.6081496091324847,0.8431316201602189
sentinel_patch_03,19.707591417067942,22.98184249468345,0.5973798191117571,0.8459142830495473
sentinel_patch_04,18.075413166009263,20.404059646484747,0.5199199413414215,0.7958783304595964
sentinel_patch_05,19.938120181042567,22.255131103386432,0.5999519841258025,0.8192811050612426
AVERAGE,19.616082761664977,22.430394210927865,0.5893822523547081,0.8295480342355258
