image,psnr,ssim
001.jpg,29.290695635148943,0.8937865712717155
002.jpg,26.006585504486157,0.8694565941684003
003.jpg,33.001416641310286,0.9438963293557315
004.jpg,25.23244621924803,0.8022277270088674
005.jpg,28.562235082030018,0.8571751076734716
test_reference.png,33.20335585426993,0.9835270749873091
