patch,bicubic_lpips,ai_lpips,ai_lpips_difference
sentinel_patch_01,0.6361347436904907,0.34373730421066284,-0.2923974394798279
sentinel_patch_02,0.6440463066101074,0.4527270495891571,-0.19131925702095032
sentinel_patch_03,0.6902140378952026,0.3770562410354614,-0.3131577968597412
sentinel_patch_04,0.7307518124580383,0.37782877683639526,-0.35292303562164307
sentinel_patch_05,0.6552826166152954,0.38628318905830383,-0.2689994275569916
AVERAGE,0.6712859034538269,0.3875265121459961,-0.2837593913078308
